1555.26 0 1061.73 1555.26 887.528 0 0 0 0
10269 295 97798
3608 -7.1911 -11.8101 41.582
3612 -5.7056 -6.4716 46.3672
3613 -2.70415 -12.3424 41.2681
3616 -9.25662 -6.15335 46.4232
3629 -9.69205 -11.5315 41.6383
3638 -13.609 -5.42447 46.6579
3649 -11.3319 -12.1309 40.9512
3775 5.06637 -13.2506 40.8111
3776 4.20641 -13.1672 40.8181
3915 -7.65501 -11.7507 41.6425
3933 -15.4913 -4.49568 46.6831
3966 -11.3013 -4.87663 46.6088
3980 -4.65337 -11.9983 41.5754
4174 13.6383 -9.6722 44.5801
4253 -5.59692 -4.01214 48.7671
4260 5.9311 -12.9391 41.249
4292 -12.0871 -2.3136 49.3612
4313 -3.21657 -12.3244 41.2755
4371 -2.08869 -8.88696 44.5782
4456 -2.33482 -12.6056 40.8674
4495 -11.0336 -11.963 41.1977
4594 4.42725 -13.3573 40.8937
4628 -9.4726 -3.39922 48.8627
4655 -2.37225 -9.22802 44.6191
4690 -7.42906 -10.3229 43.271
4762 5.61826 -9.59016 44.2254
4841 -11.8603 -5.71571 46.7394
4926 -8.34304 -5.11587 46.3893
5190 -9.23121 0.983686 52.5404
5208 8.17246 -13.1212 41.1718
5220 -6.75002 -5.28329 46.6783
5278 5.52053 -12.6294 41.4498
5319 5.50903 -8.92363 44.7162
5347 14.0737 -2.32137 51.6582
5441 -12.6844 -6.44432 45.9244
5443 -9.88186 -10.3139 43.4785
5464 -9.38732 -5.90031 46.6429
5479 -8.8577 -5.09821 46.5785
5481 -4.47003 -5.53679 46.8313
5497 -9.94616 -11.5347 41.6019
5509 -12.6401 -3.92205 48.0662
5514 -15.0912 -4.23867 47.3925
5520 -3.41068 -12.1354 41.5209
5592 -17.5336 -2.59621 49.5524
5686 13.9355 -5.68688 47.7624
5709 13.9818 -5.23938 48.3797
5744 -6.23692 -5.32869 46.6209
5771 -6.17008 -11.8935 41.5644
5785 -17.1944 0.74205 52.3202
5823 -6.63134 0.00315271 51.9143
5825 3.45305 -2.43853 22.7944
6084 -2.9315 -12.1679 41.5279
6096 -6.69999 -12.0041 41.3386
6105 -16.3602 -5.1584 46.8835
6140 0.371788 -0.0978084 24.0181
6158 -12.6588 -10.854 41.8873
6159 -0.467589 -3.30907 22.169
6196 -8.90426 -0.224341 52.1614
6206 8.05146 -11.3091 42.7677
6328 -8.15655 -11.6767 41.6308
6409 -5.71048 -0.0755522 51.9237
6461 -6.20868 -6.38724 46.5917
6468 -13.4337 -4.14715 47.73
6474 -3.67104 -6.45164 46.8593
6480 -8.68637 0.267765 51.5332
6502 5.83589 -9.88053 44.3373
6523 -7.18758 -11.5543 41.4543
6581 -0.921752 -6.59577 46.62
6592 -16.0479 -4.52332 46.742
6646 -5.40188 -0.102319 51.7533
6728 6.16104 -12.9487 41.1337
6735 -12.1606 -4.79989 46.5913
6752 -9.9849 1.04386 52.51
6762 1.04705 -5.98005 46.4459
6796 -7.74848 -5.18058 46.6143
6825 -9.90633 -11.2741 41.4225
6841 -17.3631 -3.89647 47.9863
6861 -11.8148 -15.7346 37.7856
6910 -16.9783 -4.41901 46.7697
6943 -17.4796 1.08873 53.069
7043 9.19548 -4.68988 48.5431
7058 -14.9211 -5.97071 46.2097
7079 -17.7559 2.43533 53.057
7098 0.600355 -5.9777 46.5443
7119 5.65818 -11.4241 42.9155
7127 -11.002 -15.8034 37.691
7158 -17.1578 1.82284 53.6722
7199 -16.69 -5.22923 46.9897
7239 -17.4024 -0.828479 51.0856
7305 -17.8059 -3.30629 49.1622
7311 -6.08806 -0.0309741 51.7715
7340 -3.17176 -12.132 41.5448
7345 -9.1566 -11.6177 41.6348
7379 -11.3925 -15.1866 38.0569
7380 -0.350747 -5.87577 46.443
7384 -15.0241 -4.51252 46.6154
7401 8.64807 -10.124 44.2619
7492 12.6966 -13.3292 40.9837
7504 -0.83518 -5.8489 46.3282
7559 -11.2672 -15.5519 37.5447
7593 -13.6805 -6.33487 45.871
7600 -11.0634 -15.5424 37.5334
7610 -11.5271 -15.5245 37.5696
7625 -18.1519 2.45742 52.9675
7816 -17.3819 -5.12714 47.0033
7817 -1.58742 -5.77537 46.2384
7846 -1.91951 -5.74556 46.7082
7864 -17.5727 -3.93685 47.7421
7890 -17.6571 -3.6638 47.8714
7975 -11.1269 -12.3937 40.6201
7998 0.500849 -4.692 25.8131
8013 0.316896 -4.8933 25.9438
8162 -12.0358 -16.1999 37.2165
8178 0.462555 -4.863 26.116
8226 -10.7627 -16.0037 37.3413
8271 -13.1686 -5.78533 46.6644
8297 -7.58818 -16.549 37.0758
8321 8.89254 -4.69793 48.3815
8466 -17.7458 -3.96711 47.4727
8470 -4.61585 -16.8032 36.9756
8472 -11.2546 -14.0733 39.1394
8501 -3.36782 -16.9081 36.9306
8506 -9.80765 -13.6337 39.5753
8532 -3.14897 -16.9388 36.9405
8557 -7.82166 -16.546 37.102
8561 2.4746 -5.25854 25.1678
8562 -2.97264 -16.456 37.5376
8565 -2.07768 -8.19063 44.9309
8573 4.39807 -9.59949 43.9658
8578 -12.043 -15.6586 37.7402
8594 -6.65435 -2.06667 50.8093
8597 -17.272 0.352606 52.2311
8627 -2.94282 -17.137 37.0155
8738 -10.7924 -16.2902 37.1181
8747 -17.3179 2.38605 53.0787
8771 -18.0799 -4.59227 46.5842
8811 -17.5972 -5.18589 46.7421
8826 -11.3716 -13.201 39.8739
8830 -3.82836 -14.6818 38.9754
8844 -12.5395 -7.34621 45.0444
8846 -3.3834 -16.4165 37.4265
8862 -2.30583 -5.67729 46.4776
8872 -3.25276 -17.4318 37.1022
8925 13.1857 -10.5897 44.1921
8949 14.3432 -1.91989 51.7052
8976 15.6586 2.51434 55.3003
8999 -17.9505 -2.68053 49.8038
9015 -10.3096 -4.97147 46.5104
9020 -3.16452 -16.6675 37.1964
9035 -17.2808 -4.35005 46.8404
9068 -6.97466 0.038144 51.8901
9102 6.52105 -4.63319 48.8653
9106 -8.06672 -16.5114 37.0911
9113 -3.62142 -16.8881 36.908
9116 -12.8312 -5.66932 46.7448
9186 8.94218 -3.45088 50.2737
9197 -10.1864 -11.2689 41.5184
9228 -17.5687 -2.20086 49.2354
9257 14.8591 2.53566 55.2635
9367 -19.0795 2.53628 53.262
9370 -4.12163 -16.8385 36.9461
9462 -6.48838 -3.34721 48.8191
9533 -5.97966 -3.53746 48.6298
9546 -5.72109 -3.56116 48.8381
9554 -4.76606 -3.62039 49.02
9575 -7.1758 -3.4401 48.8525
9579 -5.44589 -3.59474 48.9229
9591 -18.7589 2.53284 53.2471
9598 -5.16846 -3.62296 49.0457
9614 14.425 3.13914 55.6475
9676 -10.2113 -11.5242 41.6723
9699 -6.56544 -1.66625 50.5886
9711 -6.87338 -3.51451 48.9118
9725 -6.2889 -12.1203 41.2931
9799 5.07132 -4.82328 48.1042
9806 5.8321 -4.91224 48.0204
9816 -9.1753 -3.0594 49.0071
9826 6.19364 -4.47745 48.5234
9912 -8.23225 -3.33207 49.2524
9919 -8.5752 -16.4706 37.0659
9935 -8.59145 -3.2958 49.24
9957 -7.78005 -16.2532 37.2942
9973 -8.34612 -16.4715 37.0908
10068 -1.59501 -3.90162 48.8599
10282 -2.41588 -9.48547 44.6973
10291 -7.14557 -13.8671 39.4847
10295 0.0367195 -5.32449 25.7876
10561 -17.4859 -4.328 46.5363
10569 -20.1322 1.7017 53.5485
10596 -3.85178 -16.8629 36.9031
10597 -2.16618 -3.92823 48.8843
10629 -6.72123 -2.41546 50.434
10643 -12.7926 -12.537 40.4176
10710 -4.7245 -14.3337 39.1935
10738 -9.89737 -10.0447 43.2769
10869 -1.86301 -3.72493 48.628
10957 -11.7562 -15.7826 37.7854
11092 -6.0978 -0.497416 52.0544
11116 -11.3806 -20.0513 33.6856
11118 -12.1806 -19.9618 33.6467
11120 -17.564 -2.59155 49.5462
11204 -7.75033 -20.0578 34.2411
11233 -7.24565 -20.111 34.21
11300 -8.02422 -20.0235 34.2332
11358 -8.25478 -20.0289 34.2632
11400 -12.6579 -19.7079 33.9294
11408 -11.8491 -20.2194 33.7768
11414 -6.54453 -14.7917 38.7727
11423 -12.1394 -20.2076 33.7876
11433 -10.8754 -20.1783 33.7168
11438 -11.6476 -20.249 33.7913
11472 -11.0057 -19.5365 34.0782
11622 -11.7725 -4.81589 46.4779
11676 -8.70098 -11.6207 41.6942
11719 -11.7895 -20.3587 33.5335
11720 -7.76831 -13.7678 39.5554
11736 -12.7388 -20.1935 33.4361
11753 -12.5457 -20.4748 33.2388
11920 -11.7587 -15.5345 37.6053
12062 -8.48004 -19.9848 34.2688
12553 -7.32831 -16.5784 37.1116
12605 -10.2709 -16.3112 37.2245
12657 -10.0112 -16.3395 37.1626
12658 -9.36445 -16.4064 37.15
12673 -12.5083 -15.5888 37.7016
12735 -18.4297 -4.21559 46.7744
13013 -11.9251 -20.6447 33.2121
13044 -17.9493 -4.65965 46.1885
13082 -10.8597 -14.7565 38.4598
13136 -7.82959 -16.9879 37.2976
13198 -10.0349 -8.11005 44.832
13320 -20.7469 -2.47818 50.192
13390 -7.79184 -17.2482 37.468
13397 -12.6651 -15.3019 37.8523
13454 -9.41781 -11.5572 41.639
13474 -11.1566 -4.82025 46.9289
13647 -10.8497 -15.7507 37.7596
14179 -11.156 -15.8382 37.9383
14195 -7.61174 -20.2675 33.8788
14298 -11.8296 -23.9964 30.2828
14345 -12.6219 -23.9492 30.3229
14541 -12.112 -23.7436 30.0894
14547 -8.98502 -19.9403 34.2575
14559 -6.98248 -20.1028 34.1853
14619 -11.8599 -14.4889 38.5426
14634 -8.72741 -19.9682 34.2275
14732 -18.2526 -12.0917 40.6134
14861 12.2568 -22.1596 33.0962
15091 -11.9147 -23.7528 30.1015
15182 2.94447 -25.3229 29.9098
15207 3.76254 -25.3989 29.8324
15443 -3.11051 -20.7775 33.4175
15561 -3.30191 -20.3679 34.1122
15582 -8.09268 -19.774 34.1398
15591 -18.0375 -7.89339 44.7308
15804 -7.5217 -20.0643 34.2139
15817 -9.7444 -19.8602 34.2291
15894 -18.5524 -12.0851 40.7054
15923 -2.47644 -20.8924 33.4
15945 -3.51826 -24.5816 29.9832
16034 -10.7728 -19.5361 34.0614
16301 -10.7432 -19.7973 34.2058
16324 -10.0446 -19.8321 34.2864
16338 -18.1766 -10.4601 41.9256
16451 -3.76758 -20.3997 34.0619
16496 -4.49829 -20.3383 34.1597
16509 -9.5048 -19.8954 34.2314
16624 11.403 -27.0456 29.3623
16713 11.6489 -26.6952 29.1875
16781 13.5653 -17.9562 37.0752
16972 -4.03769 -20.3611 34.1186
17031 7.17236 -21.1472 33.6008
17131 11.8611 -26.0837 29.6364
17132 12.7551 -17.856 37.237
17185 12.1748 -18.5108 36.796
17294 7.51253 -21.1211 33.9697
17431 -3.85575 -20.7529 33.5417
17485 8.68728 -20.481 37.9493
17528 4.14471 -21.4049 33.2251
17530 3.33793 -21.373 33.2891
17737 -18.86 -12.0756 40.7106
17783 -12.8511 -24.3829 29.7724
17814 4.76167 -22.1243 32.8273
17935 4.56086 -20.9517 33.6885
17943 -12.2104 -28.2269 26.2068
17953 -12.9649 -28.1368 26.1545
17980 11.9811 -21.5505 33.5231
18049 13.0306 -22.2173 32.9668
18129 11.8531 -21.5258 34.1733
18201 4.30412 -21.0169 33.7425
18228 -12.9464 -28.3979 26.336
18307 -12.449 -23.6139 30.4138
18322 12.2448 -21.7408 33.6523
18355 -4.17657 -28.5708 26.6736
18372 3.75363 -29.1211 26.5182
18457 3.53104 -29.1819 26.505
18489 -4.60084 -28.5962 26.6634
18579 -13.2607 -28.2745 26.3207
18619 -13.0419 -19.7561 33.9815
18664 -12.4391 -28.6369 26.0264
18699 -4.3832 -28.5979 26.6617
18711 10.4072 -21.5968 34.1487
18741 7.20419 -19.5463 35.4169
18745 -18.4005 -14.2581 38.5831
18761 6.4903 -29.3547 26.3904
18774 6.24062 -29.3006 26.2668
18779 3.29093 -29.6379 25.8451
18791 2.45878 -29.5928 25.9073
18795 11.0162 -29.7362 26.4345
18843 -4.02723 -29.0453 26.0371
18965 -2.88519 -16.8845 36.7162
19042 7.53545 -26.2002 29.2746
